"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage"
"X1.1",189,199.2,6.41602486750181,199.091094619666,6.75248009197765,1.66715822177451,0.508430562342131,2.03430059599433,23.987669938775,0.318053926865362,0.999715801439939
"X1.5",2075,2149.01990049751,15.1182286480299,2153.89976885515,22.8330339867909,6.17215466402609,0.987534784239714,80.2232403538499,411.464545847355,0.808115189722044,0.99726853606164
"X1.6",1303,1352.1376146789,12.839569977313,1347.5671419038,18.0730392664655,4.79488905761577,0.948793656525246,19.5288304561918,232.163390243748,0.668517180774295,0.998357963875205
"X1.7",180,193.541666666667,7.08584821701237,196.874519616389,6.88858855590491,1.30534903975451,0.460784060303781,1.85454458294274,22.6846575268684,0.251369128848189,0.999589490968801
"X1.8",191,203,6.56034408267822,205.525296697796,7.05922389379152,1.40616646931851,0.491674313479775,1.96724270781113,24.2786471571964,0.267725298117519,0.999621068586586
"X1.10",201,203.4,2.37641740553907,204.863417153482,6.65459073413213,1.6421756142272,0.642663072330462,2.79847931340808,25.7410907196095,0.309651366967736,0.99985790071997
"X2.1",2256,2345.64432989691,17.4262554174889,2339.43665879572,23.7949677500982,6.21557103888239,0.97896848241439,47.5476862727305,456.748383391507,0.804985158774612,0.997047492737148
"X2.5",1794,1870.81609195402,15.9792674862247,1871.01036839637,21.3048777853978,5.88391587721755,0.985135711922079,67.2753376924529,343.522470622698,0.78533855045671,0.99741063534167
"X2.6",1373,1421.47008547009,12.531339748892,1415.69431377442,18.4540502697683,5.22983412325929,0.972748862858753,36.6957163958641,247.433462224085,0.723877180234829,0.998310597448528
"X2.7",959,987.123456790123,9.21895256695814,989.001914804889,15.5279122061805,4.30096446315429,0.896683684936566,9.67901341996201,160.327116317277,0.626424802876342,0.998926360995327
"X2.9",1649,1679.07058823529,9.56706854118295,1670.56712182742,20.2132559550494,5.67247292224468,0.982631593769156,57.5758067095479,309.630245121801,0.765730409120151,0.998863205759758
"X2.10",1168,1195.02631578947,8.41641732681834,1196.42565418446,16.7483298678761,3.43772286282886,0.794922367621258,4.87620218938931,203.320251806396,0.486719442272608,0.998752684097512
"X2.11",843,846.9,3.11452736669826,845.668609086274,13.1460777680537,4.99553856997577,0.974516828046362,39.2415827126745,137.397094546432,0.74151151417513,0.999794745484401
"Y2.1",1508,1576,15.411250956867,1571.68463737263,19.5023754603315,4.9162000101055,0.946949316439703,18.8498984911929,277.467141807587,0.671746046800759,0.997836933181761
"Y2.5",1656,1717.69536423841,14.0956528533998,1718.1205319359,20.3964221244151,5.9635884271924,0.990486644853421,105.115386169474,311.247624031577,0.804568190339408,0.997836933181761
"Y2.6",842,865.820895522388,8.5262662383709,861.17918871738,14.0638487139512,3.03956377717626,0.847344587984002,6.55070126105455,137.20248034089,0.451256390610935,0.999100037893141
"Y2.7",1227,1240.27941176471,5.7123738993405,1238.87557396528,17.4505258948579,5.28034037558196,0.972569291831258,36.4554933780204,215.825851135952,0.742420876517531,0.999321081217633
"Y2.8",86,88.8,2.82849656050574,89.9520549138487,4.62868182885085,1.20606820959171,0.453912741058636,1.83120917697033,9.80192817817867,0.27076205095326,0.999873689528862
"Y2.9",206,212.954545454545,4.52106740628277,215.756551211615,7.1750369782089,1.75133738027037,0.585559050332721,2.41288897924498,26.4769491059039,0.328712103057052,0.999715801439939
"Y2.10",150,159.24,5.36521981957812,164.740923224317,6.27361094555068,1.27564097415415,0.465224122351626,1.86994223523582,18.4206700138668,0.254586674000633,0.99965264620437
"Y4.1",2320,2409.7,16.6903061205604,2416.10061560597,24.1283435869932,6.04320871394046,0.976636622719174,42.8020310582707,473.037294482921,0.779837042722073,0.996715927750411
"Y4.5",2728,2817.2,16.1318199430868,2829.17559675438,26.1850858770701,6.83802666221419,0.995716360735111,233.446361414372,580.179941453227,0.864334041409948,0.996463306808134
"Y4.6",2433,2460.6,8.09961409778874,2459.66054260018,24.560421244655,6.67975988857505,0.996500709253956,285.77219573155,502.144555209626,0.856722124093846,0.99853164077302
"Y4.7",1558,1610.39552238806,12.8760166512666,1609.9381188418,19.7344685046917,5.79734944472881,0.984661857699009,65.19694369607,288.781139394231,0.788630752618648,0.998121131741821
"Y4.8",708,718.323529411765,5.45593732695714,715.290181839255,13.2334248732213,2.70241960021172,0.755641472841039,4.09234746839621,111.621661907387,0.411800780567205,0.999573702159909
"Y3.1",2471,2548.54273504273,15.1564009132927,2555.31939169253,24.8822887114662,6.83032678908574,0.996844172684682,316.874118918372,512.031532112878,0.874295458948714,0.996984337501579
"Y3.5",2180,2275,18.2621150686637,2265.47699159747,23.3874966125859,6.4938695353985,0.995216196816284,209.038700296853,437.59222422114,0.84477713303315,0.997000126310471
"Y3.7",1225,1242.73333333333,6.60699646813867,1245.60142278265,17.2913701579958,5.68106813100664,0.989308274613004,93.5302735343609,215.399368001406,0.798946830627142,0.999100037893141
"Y3.8",1413,1451.15555555556,10.3207608175998,1454.39993722739,18.743118340882,5.36453693528519,0.976815176657806,43.1316635559648,256.253005123636,0.739582110666833,0.99838954149299
"Y3.9",1121,1133.57142857143,6.00033908278587,1129.47542024046,16.3114817855086,5.22785813086105,0.971335086403653,34.8858543263654,193.471744967956,0.744499527751737,0.999478969306556
"Y3.10",1313,1353.5737704918,10.9759970960924,1356.70298316702,18.1673197864799,4.99549816059079,0.961943395526682,26.276648004714,234.331902207931,0.695745062101623,0.998421119110774
"Z7.1",1529,1606.91044776119,17.0729196385813,1592.42400208708,19.4363687406403,4.3356462926584,0.87057399122853,7.72642229712668,282.206664012223,0.591302234092704,0.997710622710623
"Z7.5",2125,2192.65745856354,14.4976367825802,2193.05706514897,23.0528280720057,6.41863507641313,0.9935788238445,155.734708997749,423.857040553573,0.837774898953303,0.997521157003916
"Z7.6",1770,1832.37931034483,14.3243043302898,1827.4623453,21.0352627030322,6.05587248501097,0.990443907676794,104.645284513584,337.856699984825,0.809745582141447,0.997868510799545
"Z7.7",1695,1730,9.99131774524343,1728.73981066467,20.4123283515278,6.41175194126746,0.996299791824644,270.255064744816,320.293911041623,0.86232336604527,0.998563218390805
"Z7.8",1647,1682.73684210526,9.89611173111945,1683.90084169132,20.26800828263,5.98003929585764,0.987610420252503,80.7129878801612,309.168491147143,0.807381240297773,0.998452696728559
"Z11.1",1960,2009.98058252427,11.4858458104446,2020.72880206165,22.0971886466937,5.88335833308676,0.979914212522976,49.7864473147431,383.305892078511,0.776096999668175,0.997726411519515
"Z11.5",994,1027.85714285714,10.251934914723,1031.71467172049,15.7756877627821,5.3282502325738,0.986702147931339,75.2001146378162,167.380039710479,0.772015808923413,0.998752684097512
"Z11.6",1097,1135.23595505618,11.21590973922,1133.46865996269,16.5771152632846,5.15539117289463,0.979856536604374,49.6438959060608,188.482245411634,0.736449265695791,0.998689528861943
"Z11.7",1441,1460.53947368421,7.26497596420807,1456.32632237517,18.8913085831125,5.83731294631486,0.991862410603672,122.886514826034,262.466674342704,0.802590214446824,0.999131615510926
"Z11.8",1574,1625.30769230769,12.7658741581645,1616.47939116513,19.4568313412545,4.00833381453253,0.809430472674779,5.24742866310114,292.422959512607,0.544508815398018,0.998168498168498
"Z8.1",2134,2199.84134615385,13.8447294791063,2208.49542074377,23.1418003028439,6.63765515712071,0.997039934869458,337.830404365786,426.097224294393,0.865884249489706,0.997379057723885
"Z8.5",1724,1785.61194029851,14.4345557076212,1775.85251453935,20.7420444515828,5.92166382206428,0.990513028337978,105.407714455732,327.059077310981,0.794597964994762,0.997963243652899
"Z8.6",2005,2050.29677419355,11.3138082870307,2046.11296235341,22.2482889439256,5.81269692557033,0.971260749672031,34.7956188344548,394.266977484175,0.764486602089821,0.998121131741821
"Z8.7",2205,2259.95930232558,12.6731936958431,2255.53515549945,23.3864994641835,6.59647991083079,0.994909070879511,196.42779860662,443.87106526684,0.85685453778179,0.997821144372869
"Z8.8",1921,1986.20454545455,14.2074357199101,1985.09839406698,21.9205931992893,6.00721042903754,0.983739548554379,61.4989075392044,373.86666134487,0.794541373061638,0.997600101048377
"Z8.11",1533,1572.02272727273,10.5252321552794,1570.31506646584,19.4727953127209,4.47874761728636,0.861641387341757,7.22759487672865,283.111463736162,0.610601047316456,0.99838954149299
"Z2.1",2148,2226.49726775956,16.0570001697365,2224.01829061551,23.280436846049,6.3388276779608,0.990147744861113,101.499604496939,429.587713511075,0.826197347744525,0.997315902488316
"Z2.5",1006,1060.44262295082,15.7673632895893,1044.70094646431,15.7950907714499,5.43015335898748,0.989495568535843,95.1979175086424,169.812130215683,0.785415048847547,0.998705317670835
"Z2.6",658,679.2,7.91092511057518,682.728427257814,12.8114825981281,4.0464626127864,0.927830648848929,13.8562975009532,102.340484194393,0.623568319325673,0.99916319312871
"Z2.7",1787,1814.48120300752,8.28598154230191,1814.36671863468,21.0647101332329,5.97132648914692,0.990676869886765,107.2601141306,341.867681747723,0.797421532296839,0.998642162435266
"Z2.8",900,913.676470588235,6.63033628413511,908.289806918303,14.7229265358149,3.92548416056186,0.903546541902649,10.3676946345531,148.577449567255,0.577073853714935,0.99951054692434
"Z9.1",1959,2029.9585492228,14.7978467646941,2031.2702637473,22.1150972193038,6.04407181567166,0.990477262208652,105.011817180199,383.063158194195,0.797351026791437,0.997379057723885
